team,city,state,tier,lat,long
Boston Celtics,Boston,MA,1,42.3600825,-71.0588801
Atlanta Hawks,Atlanta,GA,1,33.7489954,-84.3879824
Brooklyn Nets,Brooklyn,NY,1,40.6781784,-73.9441579
Charlotte Hornets,Charlotte,NC,1,35.2270869,-80.8431267
Chicago Bulls,Chicago,IL,1,41.8781136,-87.6297982
Cleveland Cavaliers,Cleveland,OH,1,41.49932,-81.6943605
Dallas Mavericks,Dallas,TX,1,32.7766642,-96.79698789999999
Denver Nuggets,Denver,CO,1,39.7392358,-104.990251
Detroit Pistons,Detroit,MI,1,42.331427,-83.0457538
Golden State Warriors,San Francisco,CA,1,37.7749295,-122.4194155
Houston Rockets,Houston,TX,1,29.7604267,-95.3698028
Indiana Pacers,Indianapolis,IN,1,39.768403,-86.158068
Los Angeles Clippers,Los Angeles,CA,1,34.0522342,-118.2436849
Los Angeles Lakers,Los Angeles,CA,1,34.0522342,-118.2436849
Memphis Grizzlies,Memphis,TN,1,35.1495343,-90.0489801
Miami Heat,Miami,FL,1,25.7616798,-80.1917902
Milwaukee Bucks,Milwaukee,WI,1,43.0389025,-87.9064736
Minnesota Timberwolves,Minneapolis,MN,1,44.977753,-93.2650108
New Orleans Pelicans,New Orleans,LA,1,29.95106579999999,-90.0715323
New York Knicks,New York,NY,1,40.7127753,-74.0059728
Oklahoma City Thunder,Oklahoma City,OK,1,35.4675602,-97.5164276
Orlando Magic,Orlando,FL,1,28.5383355,-81.3792365
Philadelphia 76ers,Philadelphia,PA,1,39.9525839,-75.1652215
Phoenix Suns,Phoenix,AZ,1,33.4483771,-112.0740373
Portland Trail Blazers,Portland,OR,1,45.5122308,-122.6587185
Sacramento Kings,Sacramento,CA,1,38.5815719,-121.4943996
San Antonio Spurs,San Antonio,TX,1,29.4241219,-98.49362819999999
Toronto Raptors,Toronto,ON,1,43.653226,-79.3831843
Utah Jazz,Salt Lake City,UT,1,40.7607793,-111.8910474
Washington Wizards,Washington,DC,1,38.9071923,-77.0368707
Anaheim Amigos,Anaheim,CA,2,33.8365932,-117.9143012
Baltimore Bullets,Baltimore,MD,2,39.2903848,-76.6121893
Buffalo Braves,Buffalo,NY,2,42.88644679999999,-78.8783689
Calgary Cowboys,Calgary,AB,2,51.0486151,-114.0708459
Chicago Gears,Chicago,IL,2,41.8781136,-87.6297982
Cincinnati Royals,Cincinnati,OH,2,39.1031182,-84.5120196
Columbus Athletics,Columbus,OH,2,39.9611755,-82.99879419999999
Edmonton Eskimos,Edmonton,AB,2,53.544389,-113.4909267
Green Bay Cheese,Green Bay,WI,2,44.5133188,-88.0132958
Jacksonville Giants,Jacksonville,FL,2,30.3321838,-81.65565099999999
Kansas City Kings,Kansas City,MO,2,39.0997265,-94.5785667
Las Vegas Gamblers,Las Vegas,NV,2,36.1699412,-115.1398296
Louisville Bourbon,Louisville,KY,2,38.2526647,-85.7584557
Mexico City Chalupas,Mexico City,CDMX,2,19.4326077,-99.133208
Montreal Macarons,Montreal,QC,2,45.5016889,-73.567256
Nashville Twang,Nashville,TN,2,36.1626638,-86.7816016
Newark Traffic,Newark,NJ,2,40.735657,-74.1723667
Norfolk Squires,Norfolk,VA,2,36.8507689,-76.28587259999999
Oakland Oaks,Oakland,CA,2,37.8043637,-122.2711137
